,,,15-Aug,,15-Sep,,15-Oct,,15-Nov,,15-Dec,,16-Jan,,16-Feb,,16-Mar,,16-Apr,,16-May,,16-Jun,,16-Jul,,16-Aug,,16-Sep
,A Class Act,,0,,0,,144,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Abraham Natural Foods Corp,,"3,556.80",,0,,0,,0,,0,,"3,704.40",,0,,0,,0,,"3,556.80",,0,,0,,"3,556.80",,0
,Albertsons (SuperValu),,0,,"3,778.56",,0,,"3,778.56",,0,,0,,0,,"3,098.88",,0,,"2,833.92",,0,,0,,"3,098.88",,982.8
,Allina Health,,0,,0,,0,,0,,0,,0,,0,,707.52,,0,,0,,0,,0,,0,,0
,Amazebowls,,0,,0,,0,,0,,144,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Amazon Seller Central,,0,,0,,0,,0,,0,,0,,455.88,,0,,"2,318.61",,"2,805.51",,399.93,,"1,511.67",,"1,336.59",,968.78
,Amazon.com,,"14,696.68",,"21,473.27",,"16,012.72",,"35,040.28",,"11,469.44",,"38,682.72",,"34,500.12",,"33,259.00",,"33,005.68",,"30,662.28",,"43,636.64",,"46,807.29",,"55,210.55",,"73,058.24"
,Ampersand Entertainment,,0,,0,,0,,0,,0,,0,,0,,540,,0,,0,,0,,0,,0,,0
,AOJ Snacks,,0,,0,,0,,0,,0,,0,,0,,0,,0,,86.4,,0,,86.4,,0,,0
,Artis Coffee Inc,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,"ASN, Inc.",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Associated Wholesale Grocers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AWG - TN,0,,0,,"4,165.20",,0,,"7,333.20",,0,,"2,782.80",,0,,0,,0,,0,,778.8,,0,,0
,Total Associated Wholesale Grocers,,0,,0,,"4,165.20",,0,,"7,333.20",,0,,"2,782.80",,0,,0,,0,,0,,778.8,,0,,0
,Baked By Butterfield,,0,,172.8,,0,,172.8,,0,,0,,259.2,,0,,0,,0,,0,,0,,0,,0
,"Barefoot Provisions, LLC",,460.8,,806.4,,460.8,,691.2,,460.8,,"1,324.80",,691.2,,"1,209.60",,633.6,,518.4,,460.8,,0,,"1,296.00",,460.8
,BB&K Trading,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DD's Discount,0,,0,,0,,0,,0,,0,,0,,0,,0,,630,,0,,0,,0,,0
,,Homegoods Bloomfield,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,436.40",,0,,0,,0,,0
,,Homegoods Brownsburg,0,,0,,0,,0,,0,,0,,0,,0,,0,,680.4,,0,,0,,0,,0
,,Homegoods Jefferson,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,058.40",,0,,0,,0,,0
,,Homegoods San Pedro,0,,0,,0,,0,,0,,0,,0,,0,,0,,403.2,,0,,0,,0,,0
,,Ross Stores,0,,0,,0,,0,,0,,0,,0,,0,,0,,"7,800.00",,0,,0,,0,,0
,Total BB&K Trading,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"12,008.40",,0,,0,,0,,0
,BBF Direct,,"5,641.20",,0,,0,,0,,540,,540,,0,,810,,0,,0,,0,,405,,405,,405
,Better People,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,438.08",,0,,0,,0
,Bi Rite Foodservice Distributors,,0,,0,,"1,404.00",,592.8,,0,,0,,"2,619.00",,810,,"1,188.00",,648,,0,,"3,510.00",,0,,"5,400.00"
,Blazers Enterprises,,259.2,,0,,0,,0,,0,,172.8,,0,,0,,0,,0,,0,,0,,102.72,,0
,Blissmo,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Bloomingdales Boston (Forty Carrots),,0,,0,,0,,0,,259.2,,0,,0,,0,,0,,0,,0,,0,,0,,0
,BOL,,264,,264,,0,,0,,0,,0,,0,,0,,0,,0,,144,,279,,540,,135
,Bowl of Heaven,,0,,0,,172.8,,0,,0,,0,,0,,0,,172.8,,0,,0,,86.4,,172.8,,0
,Boxed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Boxed - GA,"8,294.40",,0,,0,,"8,294.40",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,Boxed - NJ,"8,294.40",,0,,"8,294.40",,0,,"8,294.40",,0,,"8,294.40",,0,,"8,294.40",,"16,588.80",,0,,0,,0,,"8,294.40"
,,Boxed - NV,0,,0,,0,,"8,294.40",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Total Boxed,,"16,588.80",,0,,"8,294.40",,"16,588.80",,"8,294.40",,0,,"8,294.40",,0,,"8,294.40",,"16,588.80",,0,,0,,0,,"8,294.40"
,Bozzuto's Inc.,,"3,686.40",,0,,0,,0,,"3,686.40",,0,,0,,0,,388.8,,0,,0,,0,,"4,147.20",,"3,916.80"
,Burlington Coat Factory,,"4,050.00",,0,,0,,0,,0,,0,,"22,950.00",,"3,834.00",,0,,0,,0,,0,,"5,400.00",,0
,Campus Red Caps,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Cavallo Point Lodge,,172.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Chanda Enterprises,,0,,0,,513.6,,"1,027.20",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Chelsea Market Baskets,,0,,0,,288,,432,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Chex Finer Foods,,"40,550.40",,"36,738.00",,"18,271.80",,"14,745.60",,"32,494.80",,"15,872.40",,"93,153.60",,"23,045.40",,"8,002.80",,"96,663.60",,"5,529.60",,"7,192.80",,"6,426.00",,"5,713.20"
,Chobani (Soho),,"1,080.00",,0,,"2,700.00",,0,,0,,0,,0,,"2,970.00",,0,,0,,0,,0,,0,,"1,620.00"
,Clip Art Studio,,0,,0,,0,,144,,0,,0,,0,,144,,0,,0,,0,,0,,0,,0
,Compass Group,,0,,0,,0,,0,,0,,0,,616.32,,"1,540.80",,0,,0,,0,,0,,0,,0
,Consumer Shows,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Cost Plus World Market,,0,,"4,147.20",,"8,294.40",,0,,0,,0,,"4,147.20",,0,,"4,147.20",,"2,073.60",,0,,0,,"4,503.60",,"4,147.20"
,Costco Wholesale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Costco - Bay Area Region,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,Costco - L.A. Region,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"410,659.20",,"245,254.80"
,,Costco - Midwest Region,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,Costco - San Diego Region,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,Costco - Texas Region,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Total Costco Wholesale,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"410,659.20",,"245,254.80"
,CVS - Direct,,"9,434.88",,786.24,,"1,048.32",,"36,471.60",,0,,"39,705.12",,"77,903.28",,0,,"7,076.16",,0,,"45,394.56",,786.24,,"2,751.84",,"4,129.92"
,dailyServing LLC,,288,,432,,0,,288,,432,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Dang Charity,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"32,048.44",,0
,Dang Samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marketing,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"6,498.54"
,,Sales,0,,0,,0,,0,,0,,"4,769.26",,"9,520.52",,"10,067.24",,"10,063.98",,"10,003.76",,"33,388.47",,"78,876.46",,"56,947.44",,"3,174.66"
,Total Dang Samples,,0,,0,,0,,0,,0,,"4,769.26",,"9,520.52",,"10,067.24",,"10,063.98",,"10,003.76",,"33,388.47",,"78,876.46",,"56,947.44",,"9,673.20"
,Delhaize,,"7,516.80",,"3,758.40",,"3,758.40",,"3,758.40",,"3,758.40",,0,,0,,"7,690.80",,"7,516.80",,"3,758.40",,"5,637.60",,"3,758.40",,"3,758.40",,"3,758.40"
,Design Pac,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,DNS Corporation - Los Angeles,,0,,0,,0,,0,,0,,0,,"6,438.00",,0,,0,,0,,0,,"3,438.00",,"3,661.80",,"3,376.80"
,DNS Corporation - Torrance,,0,,"5,260.80",,"5,260.80",,"17,562.00",,"3,294.00",,"10,104.00",,0,,0,,0,,0,,0,,0,,0,,0
,DPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DPI Mid Atlantic,"10,497.60",,"68,688.00",,"32,162.40",,"22,658.40",,0,,0,,"52,358.40",,"48,432.60",,0,,"76,852.80",,"45,489.60",,"13,996.80",,"34,430.40",,"50,371.20"
,,DPI NW,0,,"2,332.80",,"1,458.00",,0,,"2,041.20",,0,,"2,624.40",,"2,332.80",,"1,749.60",,0,,"1,458.00",,0,,"1,458.00",,0
,,DPI Rocky Mountain,"7,992.00",,"6,058.80",,0,,"7,192.80",,0,,"4,222.80",,"6,199.20",,"5,508.00",,"5,994.00",,"8,002.80",,0,,"9,936.00",,0,,"5,529.60"
,,DPI WE,0,,"4,989.60",,0,,"3,564.00",,"7,581.60",,0,,"4,114.80",,"9,007.20",,"4,082.40",,"6,123.60",,"5,200.20",,"13,219.20",,"3,499.20",,0
,Total DPI,,"18,489.60",,"82,069.20",,"33,620.40",,"33,415.20",,"9,622.80",,"4,222.80",,"65,296.80",,"65,280.60",,"11,826.00",,"90,979.20",,"52,147.80",,"37,152.00",,"39,387.60",,"55,900.80"
,Drip Affogato Bar,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Duogreen,,"1,152.00",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,E&A Worldwide Traders,,0,,0,,0,,0,,0,,0,,0,,0,,"24,863.76",,0,,0,,0,,0,,0
,Eli's Manhattan,,0,,0,,345.6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,"etailz, Inc.",,0,,0,,0,,0,,0,,0,,144,,0,,0,,0,,0,,0,,0,,0
